file	function	option_name	values_seen	branch_evidence_lines	state_mutation	ayanamsa_touchpoint	anchor_id
src/jhora/horoscope/dhasa/graha/dwisatpathi.py	get_dhasa_bhukthi	use_tribhagi_variation	truthy/falsy	L112,L144	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/kaala.py	get_dhasa_antardhasa	divisional_chart_factor	parameter_only	L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/kaala.py	get_dhasa_antardhasa	include_antardhasa	truthy/falsy	L62,L74,L75,L85,L109	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karaka.py	get_dhasa_antardhasa	divisional_chart_factor	parameter_only	L27,L46	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karaka.py	get_dhasa_antardhasa	include_antardhasa	truthy/falsy	L28,L41,L42,L58	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	_antardhasa	antardhasa_option	1,3,4,5,6	L41,L43,L45,L47	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L61,L69,L70,L83	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/karana_chathuraaseethi_sama.py	get_dhasa_bhukthi	use_tribhagi_variation	truthy/falsy	L61,L75	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/naisargika.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L51,L53	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/naisargika.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L28,L56	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/naisargika.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L29,L46,L47,L71	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_antardhasa	antardhasa_option	1,3,4,5,6	L56,L58,L60,L62	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_dhasa_start	dhasa_starting_planet	1,const._ascendant_symbol	L69,L76,L78,L80,L83,L86,L89,L92,L95,L100	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_dhasa_start	divisional_chart_factor	parameter_only	L68,L74,L81,L84,L87,L90,L93,L96	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_dhasa_start	seed_star	parameter_only	L68	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_dhasa_start	star_position_from_moon	parameter_only	L68	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_get_dhasa_dict	seed_star	parameter_only	L40	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	_maha_dhasa	seed_star	parameter_only	L53	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	antardhasa_option	parameter_only	L110,L125	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	dhasa_starting_planet	parameter_only	L110,L144	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	divisional_chart_factor	parameter_only	L110,L143	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	include_antardhasa	truthy/falsy	L109,L149	local_recompute	none	DS900
src/jhora/horoscope/dhasa/graha/panchottari.py	get_dhasa_bhukthi	seed_star	parameter_only	L110,L144	local_recompute	none	DS900
